opendb_id,metadata_name,metadata_manufacturer,metadata_series,metadata_variant,metadata_releaseYear,series,socket,_source_file,cache_l1,cache_l2,cache_l3,clocks_efficiency_base,clocks_efficiency_boost,clocks_performance_base,clocks_performance_boost,coreFamily,cores_efficiency,cores_performance,cores_threads,cores_total,general_product_information_amazon_sku,general_product_information_bestbuy_sku,general_product_information_manufacturer_url,general_product_information_newegg_sku,general_product_information_walmart_sku,metadata_last_manually_spec_verified_at,metadata_part_numbers,microarchitecture,specifications_eccSupport,specifications_includesCooler,specifications_integratedGraphics_baseClock,specifications_integratedGraphics_boostClock,specifications_integratedGraphics_model,specifications_integratedGraphics_shaderCount,specifications_lithography,specifications_memory_channels,specifications_memory_maxSupport,specifications_memory_types,specifications_packaging,specifications_ppt,specifications_simultaneousMultithreading,specifications_tdp
007a5a23-1e12-45b7-90d0-565b80876539,AMD Ryzen Threadripper 9980X,AMD,Threadripper 9000,9980X,2025,Ryzen Threadripper 9000,sTR5,007a5a23-1e12-45b7-90d0-565b80876539.json,64 × 64 KB (32 KB L1I + 32 KB L1D),64,256,0,0,3.2,5.4,Shimada Peak,0,0,128,64,B0FJ6JZN8K,12249635,https://www.amd.com/en/products/processors/ryzen-threadripper/9000-series/amd-ryzen-threadripper-9980x.html,N82E16819113914,17397421751,,AMD Ryzen Threadripper 9980X | 100-000001593WOF | 100-100001593WOF,Zen 5,True,False,0,0,,0,"TSMC 4nm FinFET, TSMC 6nm FinFET",4,1024,DDR5,Boxed,0,True,350
016d1180-e254-43da-ad22-67895ac633b6,Intel Xeon E5 1650 V3 OEM/Tray 3.5 GHz 6-Core LGA2011-3,Intel,Intel Xeon E5,,,Intel Xeon E5,LGA 2011-3,016d1180-e254-43da-ad22-67895ac633b6.json,,5,15,,,3.5,3.8,Haswell-EP,,6,12,6,,,,,,,CM8064401548111,Haswell,True,False,,,,,22 nm,,0,,OEM/Tray,,True,140
019f71b2-930f-4546-8496-5947f1ef06cb,Intel Xeon E3 1245 V5 OEM/Tray 3.5 GHz 4-Core LGA1151,Intel,Intel Xeon E3,,,Intel Xeon E3,LGA 1151,019f71b2-930f-4546-8496-5947f1ef06cb.json,,1,8,,,3.5,3.9,Skylake-H,,4,8,4,,,,,,,CM8066201934913,Skylake,True,False,,,Intel HD Graphics P530,,14 nm,,64,,OEM/Tray,,True,80
01ad7eaa-17b3-46d8-a57b-3fcc7e513ad7,Intel Xeon E5-2660 v4,Intel,Xeon E5 2600 v4,E5-2660 v4,2016,Xeon E5 2600 v4,LGA 2011-3,01ad7eaa-17b3-46d8-a57b-3fcc7e513ad7.json,14 × 32 KB Instruction + 14 × 32 KB Data (896 KB total),3.5,35,0,0,2,3.2,Broadwell-EP,,0,28,14,B01CNKEZVY,,https://www.intel.com/content/www/us/en/products/sku/91772/intel-xeon-processor-e52660-v4-35m-cache-2-00-ghz/specifications.html,,50892436,,BX80660E52660V4,Broadwell,True,False,0,0,,0,14 nm,4,1536,DDR4,Boxed,0,True,105
01b18e41-6a82-45f2-ab4c-5f08e7983406,Intel Core i5 6400T OEM/Tray,Intel,Core i5 6000,6400T,2015,Core i5 6000,LGA 1151,01b18e41-6a82-45f2-ab4c-5f08e7983406.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,6,0,0,2.2,2.8,Skylake-S,0,0,4,4,B015XEWM4E,,https://www.intel.com/content/www/us/en/products/sku/88187/intel-core-i56400t-processor-6m-cache-up-to-2-80-ghz/specifications.html,9SIC3VHKU66105,,,CM8066201920000,Skylake,False,False,350,950,Intel HD Graphics 530,192,14 nm,2,64,DDR4 | DDR3,OEM/Tray,0,False,35
01c38047-7ff9-4c99-9e81-402b8aa3bb58,Intel Core i9 13900T OEM/Tray,Intel,Core i9 13000,13900T,2023,Core i9 13000,LGA 1700,01c38047-7ff9-4c99-9e81-402b8aa3bb58.json,8 × 64 KB Instruction + 8 × 48 KB Data + 16 × 64 KB Instruction + 16 × 32 KB Data (2432 KB total),32,36,1.1,3.9,1.1,5.3,Raptor Cove / Gracemont,16,8,32,24,,,https://www.intel.com/content/www/us/en/products/sku/230498/intel-core-i913900t-processor-36m-cache-up-to-5-30-ghz/specifications.html,9SIA4REKG24710,,,CM8071504820403,Raptor Lake,True,False,300,1650,Intel UHD Graphics 770,256,Intel 7,2,192,DDR5 | DDR4,OEM/Tray,106,True,35
02241621-930c-4c48-bcf9-dfb1b3a3061a,Intel Core i5 7600T,Intel,Core i5 7000,7600T,2017,Core i5 7000,LGA 1151,02241621-930c-4c48-bcf9-dfb1b3a3061a.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,6,0,0,2.8,3.7,Kaby Lake,0,0,4,4,B01N10KQWM,,https://www.intel.com/content/www/us/en/products/sku/97183/intel-core-i57600t-processor-6m-cache-up-to-3-70-ghz/specifications.html,2HK-000X-00018,,,BX80677I57600T,Kaby Lake,False,True,350,1100,Intel HD Graphics 630,192,14 nm,2,64,DDR4 | DDR3,Boxed,0,False,35
0240f7db-68e5-4aac-9438-41d2f12ec15a,Intel Core i5 14400F,Intel,Core i5 14000,14400F,2024,Core i5 14000,LGA 1700,0240f7db-68e5-4aac-9438-41d2f12ec15a.json,6 × 80 KB + 4 × 96 KB (L1 per-core totals),9.5,20,1.8,3.5,2.5,4.7,Raptor Cove / Gracemont,4,6,16,10,B0CQ1Y7KHV,,https://www.intel.com/content/www/us/en/products/sku/236777/intel-core-i5-processor-14400f-20m-cache-up-to-4-70-ghz/specifications.html,N82E16819118489,5334168519,,BX8071514400F | 14400F,Raptor Lake Refresh,True,True,0,0,,0,Intel 7,2,192,DDR5 | DDR4,Boxed,148,True,65
0271c2f7-4b7c-4870-972a-3f941cb15eb4,Intel Core i7 7700K,Intel,Core i7 7000,7700K,2017,Core i7 7000,LGA 1151,0271c2f7-4b7c-4870-972a-3f941cb15eb4.json,256 KB total (4 cores × 32 KB Instruction + 32 KB Data per core),1,8,0,0,4.2,4.5,Kaby Lake,0,0,8,4,B01LTI1JEM,,https://www.intel.com/content/www/us/en/products/sku/97129/intel-core-i77700k-processor-8m-cache-up-to-4-50-ghz/specifications.html,,55428258,,BX80677I77700K,Kaby Lake,False,False,350,1150,Intel HD Graphics 630,192,14 nm,2,64,DDR4 | DDR3,Boxed,0,True,91
027a11fe-1453-496a-a50b-33824cc8e3fd,AMD Ryzen Threadripper 1900X,AMD,Ryzen Threadripper 1000,1900X,2017,Ryzen Threadripper 1000,sTR4,027a11fe-1453-496a-a50b-33824cc8e3fd.json,8 × 64 KB Instruction + 8 × 32 KB Data (768 KB total),4,16,0,0,3.8,4,Whitehaven,0,0,16,8,B0754JNQBP,,https://www.amd.com/en/support/downloads/drivers.html/processors/ryzen-threadripper/ryzen-threadripper-1000-series/amd-ryzen-threadripper-1900x.html,N82E16819113457,295300785,,YD190XA8AEWOF | 116727 | YD190XA8U8QAE,Zen,False,False,0,0,,0,14 nm,4,1024,DDR4,Boxed,0,True,180
02d39666-7470-44e0-ab3a-0e7a1d24ebd6,Intel Core i7 Extreme 6950X 3 GHz 10-Core LGA2011-3,Intel,Intel Core i7 Extreme,,,Intel Core i7 Extreme,LGA 2011-3,02d39666-7470-44e0-ab3a-0e7a1d24ebd6.json,,5,25,,,3,3.5,Broadwell-E,,10,20,10,,,,,,,BXC80671I76950X,Broadwell,False,False,,,,,14 nm,,0,,Boxed,,True,140
030231d4-b07e-4bf5-b674-ad88f361655d,Intel Xeon E-2136,Intel,Xeon E 2100,2136,2018,Xeon E 2100,LGA 1151,030231d4-b07e-4bf5-b674-ad88f361655d.json,6 × 32 KB Instruction + 6 × 32 KB Data (384 KB total),1.5,12,0,0,3.3,4.5,Coffee Lake-S WS,0,0,12,6,B07KNFQ3G5,,https://www.intel.com/content/www/us/en/products/sku/134857/intel-xeon-e2136-processor-12m-cache-up-to-4-50-ghz/specifications.html,N82E16819118007,815015545,,BX80684E2136,Coffee Lake,True,True,0,0,,0,14 nm,2,128,DDR4,Boxed,0,True,80
038e9a92-9f1f-4367-b501-79d58ea18f30,AMD A6 7470K 3.7 GHz 2-Core FM2+ OEM/Tray,AMD,AMD A6,,,AMD A6,FM2+,038e9a92-9f1f-4367-b501-79d58ea18f30.json,,1,0,,,3.7,4,Godavari,,2,2,2,,,,,,,AD747KYBI23JC,Steamroller,False,False,,,AMD Radeon R5 (on-die),,28 nm,,0,,OEM/Tray,,False,65
0418ce9e-cf3e-4e47-9e59-be0cc65da4b1,AMD Opteron 6344 2.6 GHz 12-Core G34 OEM/Tray,AMD,AMD Opteron,,,AMD Opteron,G34,0418ce9e-cf3e-4e47-9e59-be0cc65da4b1.json,,12,16,,,2.6,3.2,Abu Dhabi,,12,12,12,,,,,,,OS6344WKTCGHK,Piledriver,False,False,,,,,32 nm,,0,,OEM/Tray,,False,115
04320339-a372-4ca2-b9d8-9eb857f34fde,AMD A8 7670K OEM/Tray,AMD,A-Series A8 7000,7670K,2015,A-Series A8 7000,FM2+,04320339-a372-4ca2-b9d8-9eb857f34fde.json,2 × 96 KB Instruction + 4 × 16 KB Data (256 KB total),4,0,0,0,3.6,3.9,Godavari,0,0,4,4,,,https://www.amd.com/en/support/downloads/drivers.html/processors/a-series/a8-series-apu-for-desktops/a8-7670k-with-radeon-r7-graphics-and-near-silent-thermal-solution.html,,,,AD767KXBI44JC,Steamroller,False,False,757,0,AMD Radeon R7 Graphics,384,28 nm,2,64,DDR3,OEM/Tray,0,False,95
044581b4-70e0-4266-aa09-8bd3d16cadd1,Intel Core i5 4460S,Intel,Core i5 4000,4460S,2014,Core i5 4000,LGA 1150,044581b4-70e0-4266-aa09-8bd3d16cadd1.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,6,0,0,2.9,3.4,Haswell,0,0,4,4,B07JF38ZMV,,https://www.intel.com/content/www/us/en/products/sku/80818/intel-core-i54460s-processor-6m-cache-up-to-3-40-ghz/specifications.html,,,,BXC80646I54460S,Haswell,False,True,350,1100,Intel HD Graphics 4600,160,22 nm,2,32,DDR3,Boxed,0,False,65
045802be-240a-4bce-9e67-2722f885e671,Intel Core i9 13900K,Intel,Core i9 13000,13900K,2022,Core i9 13000,LGA 1700,045802be-240a-4bce-9e67-2722f885e671.json,"80 KB per P-core, 96 per E-core Cluster",32,36,2.2,4.3,3,5.8,Raptor Cove / Gracemont,16,8,32,24,B0BCF54SR1,6521190,https://www.intel.com/content/www/us/en/products/sku/230496/intel-core-i913900k-processor-36m-cache-up-to-5-80-ghz/specifications.html,N82E16819118412R,1371985797,,BX8071513900K | i9-13900K,Raptor Lake Refresh,True,False,300,1650,Intel UHD Graphics 770,256,Intel 7,2,192,DDR5 | DDR4,Boxed,253,True,125
047130de-74dd-4b9c-835f-ca2dc1a866fc,Intel Core i5 3570S OEM/Tray,Intel,Core i5 3000,3570S,2012,Core i5 3000,LGA 1155,047130de-74dd-4b9c-835f-ca2dc1a866fc.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,6,0,0,3.1,3.8,Ivy Bridge,0,0,4,4,B082GNGGFX,,https://www.intel.com/content/www/us/en/products/sku/65701/intel-core-i53570s-processor-6m-cache-up-to-3-80-ghz/specifications.html,,,,CM8063701093901,Ivy Bridge,False,False,650,1150,Intel HD Graphics 2500,48,22 nm,2,32,DDR3,OEM/Tray,0,False,65
04984638-674b-4384-8866-a7b20d55f8b4,AMD Ryzen 5 5600,AMD,Ryzen 5 5000,5600,2022,Ryzen 5 5000,AM4,04984638-674b-4384-8866-a7b20d55f8b4.json,64KB per core (32KB Instruction + 48KB Data),3,32,0,0,3.5,4.4,Vermeer,0,0,12,6,B09VCHR1VH,6510772,https://www.amd.com/en/support/downloads/drivers.html/processors/ryzen/ryzen-5000-series/amd-ryzen-5-5600.html,N82E16819113736,330013066,,100-100000927BOX | AMD Ryzen 5 5600 | 100100000927BOX,Zen 3,True,True,0,0,,0,"TSMC 7nm FinFET, 12nm (Globalfoundries)",2,128,DDR4,Boxed,88,True,65
04ee90ac-3af8-453e-afcb-1e0172871e42,Intel Core i5 8400,Intel,Core i5 8000,8400,2017,Core i5 8000,LGA 1151,04ee90ac-3af8-453e-afcb-1e0172871e42.json,384 KB (6×32 KB L1 Data + 6×32 KB L1 Instruction),1.5,9,0,0,2.8,4,Coffee Lake,0,0,6,6,B0759FGJ3Q,,https://www.intel.com/content/www/us/en/products/sku/126687/intel-core-i58400-processor-9m-cache-up-to-4-00-ghz/specifications.html,N82E16819117824,421770568,,BX80684I58400,Coffee Lake,False,True,350,1050,Intel UHD Graphics 630,192,14 nm,2,128,DDR4,Boxed,0,False,65
0512ed1f-82fe-456e-8996-fbc141d8fa7c,Intel Core i7 4930K,Intel,Core i7 4000,4930K,2013,Core i7 4000,LGA 2011,0512ed1f-82fe-456e-8996-fbc141d8fa7c.json,6 × 32 KB Instruction + 6 × 32 KB Data (384 KB total),1.5,12,0,0,3.4,3.9,Ivy Bridge-E,0,0,12,6,B00EMHM622,,https://www.intel.com/content/www/us/en/products/sku/77780/intel-core-i74930k-processor-12m-cache-up-to-3-90-ghz/specifications.html,N82E16819116939,,,BX80633I74930K,Ivy Bridge E,False,False,0,0,,0,22 nm,4,64,DDR3,Boxed,0,True,130
053bbed3-b857-4a15-b69f-39cf081cadeb,Intel Core i7 Extreme 6950X 3 GHz 10-Core LGA2011-3,Intel,Intel Core i7 Extreme,,,Intel Core i7 Extreme,LGA 2011-3,053bbed3-b857-4a15-b69f-39cf081cadeb.json,,5,25,,,3,3.5,Broadwell-E,,10,20,10,,,,,,,CM8067102055800,Broadwell,False,False,,,,,14 nm,,0,,OEM/Tray,,True,140
062aeba2-c739-4fb9-b623-d6f319b89cb1,Intel Xeon E3 1275 V5 3.6 GHz 4-Core LGA1151,Intel,Intel Xeon E3,,,Intel Xeon E3,LGA 1151,062aeba2-c739-4fb9-b623-d6f319b89cb1.json,,1,8,,,3.6,4,Skylake-H,,4,8,4,,,,,,,BX80662E31275V5,Skylake,True,True,,,Intel HD Graphics P530,,14 nm,,64,,Boxed,,True,80
06945a1e-f1c4-46a7-a96d-d66182284689,Intel Xeon E5-2623 v3 OEM/Tray,Intel,Xeon E5 2600 v3,2623 v3,2014,Xeon E5 2600 v3,LGA 2011-3,06945a1e-f1c4-46a7-a96d-d66182284689.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,10,0,0,3,3.5,Haswell-EP,0,0,8,4,B00PDD2A1Q,,https://www.intel.com/content/www/us/en/products/sku/83354/intel-xeon-processor-e52623-v3-10m-cache-3-00-ghz/specifications.html,,743637773,,CM8064401832000,Haswell,True,False,0,0,,0,22 nm,4,768,DDR4,OEM/Tray,0,True,105
06a6ec99-73aa-4cac-9cfb-21fa974ebe70,AMD Ryzen 5 3400G,AMD,Ryzen 5 3000,3400G,2019,Ryzen 5 3000,AM4,06a6ec99-73aa-4cac-9cfb-21fa974ebe70.json,4 × 64 KB Instruction + 4 × 32 KB Data (384 KB total),2,4,0,0,3.7,4.2,Picasso,0,0,8,4,B07SXNDKNM,6356646,https://www.amd.com/en/support/downloads/drivers.html/processors/ryzen/ryzen-3000-series/amd-ryzen-5-3400g.html,N82E16819113570,17087355430,,Ryzen 5 3400G | YD3400C5FHBOX,Zen+,True,True,,1400,AMD Radeon Vega 11 Graphics,704,12nm FinFET,2,64,DDR4,Boxed,0,True,65
06dd6572-a882-4f86-b3c4-c8c30fe6b476,Intel Xeon E5-2630 v3 OEM/Tray,Intel,Xeon E5 2600 v3,2630 v3,2014,Xeon E5 2600 v3,LGA 2011-3,06dd6572-a882-4f86-b3c4-c8c30fe6b476.json,8 × 32 KB Instruction + 8 × 32 KB Data (512 KB total),2,20,0,0,2.4,3.2,Haswell-EP,0,0,16,8,B00PDD266A,,https://www.intel.com/content/www/us/en/products/sku/83356/intel-xeon-processor-e52630-v3-20m-cache-2-40-ghz/specifications.html,9SIBT5SKN11834,41608004,,CM8064401831000,Haswell,True,False,0,0,,0,22 nm,4,768,DDR4,OEM/Tray,0,True,85
070c78bb-0589-40b2-986b-c592fe9303f2,Intel Xeon E3 1220 V5 3 GHz 4-Core LGA1151 OEM/Tray,Intel,Intel Xeon E3,,,Intel Xeon E3,LGA 1151,070c78bb-0589-40b2-986b-c592fe9303f2.json,,1,8,,,3,3.5,Skylake-H,,4,4,4,B016TSO5EI,,,,,,CM8066201921804,Skylake,True,False,,,,,14 nm,,64,,OEM/Tray,,False,80
07376cbd-6c55-4409-8f84-452695faa5c1,Intel Xeon E3-1270 v3,Intel,Xeon E3-1200 v3,E3 1270 V3,2013,Xeon E3-1200 v3,LGA 1150,07376cbd-6c55-4409-8f84-452695faa5c1.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,8,0,0,3.5,3.9,Haswell-WS,0,0,8,4,B00D697QRM,,https://www.intel.com/content/www/us/en/products/sku/75056/intel-xeon-processor-e31270-v3-8m-cache-3-50-ghz/specifications.html,N82E16819116904,780248517,,BX80646E31270V3,Haswell,True,True,0,0,,0,22 nm,2,32,DDR3,Boxed,0,True,80
0800f2cd-ce39-4a64-b400-5d1e5d26e7cd,Intel Core i5 12600KF,Intel,Core i5 12000,12600KF,2021,Core i5 12000,LGA 1700,0800f2cd-ce39-4a64-b400-5d1e5d26e7cd.json,80KB per P-core,9.5,20,2.8,3.6,3.7,4.9,Golden Cove / Gracemont,4,6,16,10,B09FXFJW2F,6483680,https://www.intel.com/content/www/us/en/products/sku/134590/intel-core-i512600kf-processor-20m-cache-up-to-4-90-ghz/specifications.html,N82E16819118349,793064999,,BX8071512600KF,Alder Lake,False,False,0,0,,0,Intel 7,2,128,DDR5 | DDR4,Boxed,150,True,125
08020db3-1ea0-48a2-8276-934e41e6c676,AMD A4-6300 OEM/Tray,AMD,A-Series A4 6000,6300,2013,A-Series A4 6000,FM2,08020db3-1ea0-48a2-8276-934e41e6c676.json,1 × 64 KB Instruction + 2 × 16 KB Data (96 KB total),1,0,0,0,3.7,3.9,Richland,0,0,2,2,,,https://www.amd.com/en/support/downloads/drivers.html/processors/a-series/a4-series-apu-for-desktops/a4-6300-with-radeon-hd-8370d.html,N82E16819113107,,,AD6300OKA23HL,Piledriver,False,False,760,0,AMD Radeon HD 8370D,128,32nm SOI,2,32,DDR3,OEM/Tray,0,False,65
08235e69-49be-4bfe-b0a8-76beb0c6fd11,Intel Xeon E3-1271 v3,Intel,Xeon E3 1200 v3,1271 v3,2014,Xeon E3 1200 v3,LGA 1150,08235e69-49be-4bfe-b0a8-76beb0c6fd11.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,8,0,0,3.6,4,Haswell,0,0,8,4,B01DIT9VR2,,https://www.intel.com/content/www/us/en/products/sku/80908/intel-xeon-processor-e31271-v3-8m-cache-3-60-ghz/specifications.html,N82E16819117314,,,BX80646E31271V3,Haswell,True,True,0,0,,0,22 nm,2,32,DDR3,Boxed,0,True,80
082b37a2-faad-49d7-87e0-9d62750e26b5,Intel Core i7 5930K OEM/Tray,Intel,Core i7 5000,5930K,2014,Core i7 5000,LGA 2011-3,082b37a2-faad-49d7-87e0-9d62750e26b5.json,6 × 32 KB Instruction + 6 × 32 KB Data (384 KB total),1.5,15,0,0,3.5,3.7,Haswell-E,0,0,12,6,B00PDD3H72,,https://www.intel.com/content/www/us/en/products/sku/82931/intel-core-i75930k-processor-15m-cache-up-to-3-70-ghz/specifications.html,,,,CM8064801548338,Haswell,False,False,0,0,,0,22 nm,4,64,DDR4,OEM/Tray,0,True,140
083df030-ec2f-4971-8605-adf389bea28d,Intel Core i3 9100,Intel,Core i3 9000,9100,2018,Core i3 9000,LGA 1151,083df030-ec2f-4971-8605-adf389bea28d.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,6,0,0,3.6,4.2,Coffee Lake Refresh,0,0,4,4,B07RXW4Y2K,6346672,https://www.intel.com/content/www/us/en/products/sku/134870/intel-core-i39100-processor-6m-cache-up-to-4-20-ghz/specifications.html,,359047882,,BX80684I39100 | i3-9100,Coffee Lake Refresh,True,True,350,1100,Intel UHD Graphics 630,184,14 nm,2,64,DDR4,Boxed,0,False,65
08586f00-ac44-4e13-9693-2703f62023f5,AMD Ryzen Threadripper 2920X,AMD,Ryzen Threadripper 2000,2920X,2018,Ryzen Threadripper 2000,sTR4,08586f00-ac44-4e13-9693-2703f62023f5.json,12 × 64 KB Instruction + 12 × 32 KB Data (1152 KB total),6,32,0,0,3.5,4.3,Colfax,0,0,24,12,B07JDF4QP2,,https://www.amd.com/en/support/downloads/drivers.html/processors/ryzen-threadripper/ryzen-threadripper-2000-series/amd-ryzen-threadripper-2920x.html,N82E16819113545,,,YD292XA8AFWOF | 116961,Zen+,False,False,0,0,,0,12 nm,4,1024,DDR4,Boxed,0,True,180
08c118d7-15bd-4e7c-b18e-bf71d27d15ef,Intel Xeon E5-2683 v4,Intel,Xeon E5 2600 v4,E5-2683 v4,2016,Xeon E5 2600 v4,LGA 2011-3,08c118d7-15bd-4e7c-b18e-bf71d27d15ef.json,16 × 32 KB Instruction + 16 × 32 KB Data (1024 KB total),4,40,0,0,2.1,3,Broadwell-EP,0,0,32,16,B01DXN566I,,https://www.intel.com/content/www/us/en/products/sku/91766/intel-xeon-processor-e52683-v4-40m-cache-2-10-ghz/specifications.html,,50972853,,BX80660E52683V4,Broadwell,True,False,0,0,,0,14 nm,4,1536,DDR4,Boxed,0,True,120
08fa6fb3-63f5-4515-afca-3840908aea49,Intel Core i3 9320 OEM/Tray,Intel,Core i3 9000,9320,2019,Core i3 9000,LGA 1151,08fa6fb3-63f5-4515-afca-3840908aea49.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,8,0,0,3.7,4.4,Coffee Lake Refresh,0,0,4,4,B07T25DTSQ,,https://www.intel.com/content/www/us/en/products/sku/191793/intel-core-i39320-processor-8m-cache-up-to-4-40-ghz/specifications.html,,,,CM8068403376914,Coffee Lake,True,False,350,1150,UHD Graphics 630,192,14 nm,2,64,DDR4,OEM/Tray,0,False,62
09086e21-4979-41ba-a451-3f8bb1c9cc55,AMD Ryzen 7 9700X,AMD,Ryzen 7 9000,9700X,2024,Ryzen 7 9000,AM5,09086e21-4979-41ba-a451-3f8bb1c9cc55.json,8 × 80 KB (32 KB L1I + 32 KB L1D),8,32,0,0,3.8,5.5,Granite Ridge,0,0,16,8,B0D6NMDNNX,6589136,https://www.amd.com/en/products/processors/desktops/ryzen/9000-series/amd-ryzen-7-9700x.html,N82E16819113843,8872357141,,100-100001404WOF | 9700X | AMD Ryzen™ 7 9700X | 100100001404WOF,Zen 5,True,False,400,2200,AMD Radeon Graphics,128,"TSMC 4nm FinFET, TSMC 6nm FinFET",2,256,DDR5,Boxed,88,True,65
0991a38e-8dca-4222-b693-acffcb1a4a0a,AMD Ryzen Threadripper 9985WX,AMD,Ryzen Threadripper 9000,9985WX,2025,Ryzen Threadripper PRO 9000,sTR5,0991a38e-8dca-4222-b693-acffcb1a4a0a.json,96 x 80 KB,64,256,0,0,3.2,5.4,Shimada Peak,0,0,128,64,B0FJ6HXKB1,,https://www.amd.com/en/products/processors/workstations/ryzen-threadripper/9000-wx-series/amd-ryzen-threadripper-pro-9985wx.html,N82E16819113910,17365912205,,AMD Ryzen Threadripper PRO 9985WX | 100-100000722WOF,Zen 5,True,False,0,0,,0,"TSMC 4nm FinFET, TSMC 6nm FinFET",8,2048,DDR5,Boxed,0,True,350
09a3f61e-39c4-4eb3-96e8-28c7b8d344d2,Intel Xeon E5-2660 OEM/Tray,Intel,Xeon E5 2600,2660,2012,Xeon E5 2600,LGA 2011,09a3f61e-39c4-4eb3-96e8-28c7b8d344d2.json,8 × 32 KB Instruction + 8 × 32 KB Data (512 KB total),2,20,0,0,2.2,3,Sandy Bridge-EP,0,0,16,8,B007H29EYC,,https://www.intel.com/content/www/us/en/products/sku/64584/intel-xeon-processor-e52660-20m-cache-2-20-ghz-8-00-gts-intel-qpi/specifications.html,,,,SR0GZ | BX80621E52660,Sandy Bridge EP,True,False,0,0,,0,32 nm,4,384,DDR3,OEM/Tray,0,True,95
09c6c21d-b450-4656-b8f7-11f31d20d131,Intel Core i7 7820X 3.6 GHz 8-Core LGA2066,Intel,Intel Core i7,,,Intel Core i7,LGA 2066,09c6c21d-b450-4656-b8f7-11f31d20d131.json,,8,11,,,3.6,4.5,Skylake-X,,8,16,8,,,,,,,BXC80673I77820X,Skylake,False,False,,,,,14 nm,,128,,Boxed,,True,140
09e91f36-20fd-4461-a117-37ef0872fc63,Intel Core i7 4790K,Intel,Core i7 4000,4790K,2014,Core i7 4000,LGA 1150,09e91f36-20fd-4461-a117-37ef0872fc63.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,8,0,0,4,4.4,Haswell,0,0,8,4,B00N0QZJ4S,,https://www.intel.com/content/www/us/en/products/sku/80807/intel-core-i74790k-processor-8m-cache-up-to-4-40-ghz/specifications.html,,136718164,,CM8064601710501 | 3886787,Haswell Refresh,False,False,350,1250,Intel HD Graphics 4600,160,22 nm,2,32,DDR3,OEM/Tray,0,True,88
0a10243d-8440-4921-8e3f-cf459674effb,AMD EPYC 4344P,AMD,EPYC 4004,4344P,2024,EPYC 4004,AM5,0a10243d-8440-4921-8e3f-cf459674effb.json,8 × 32 KB Instruction + 8 × 32 KB Data (512 KB total),8,32,0,0,3.8,5.3,Raphael,0,0,16,8,B0D7XGKGB4,,https://www.amd.com/en/products/processors/server/epyc/4004-series/amd-epyc-4344p.html,N82E16819113835,6460558319,,100-100001479WOF | 4344P,Zen 4,True,False,400,2200,AMD Radeon Graphics,128,5 nm,2,192,DDR5,Boxed,88,True,65
0a93e420-238a-459b-a491-65f1b2e76422,Intel Xeon E 2126G 3.3 GHz 6-Core LGA1151 OEM/Tray,Intel,Intel Xeon E,,,Intel Xeon E,LGA 1151,0a93e420-238a-459b-a491-65f1b2e76422.json,,5,12,,,3.3,4.5,Coffee Lake,,6,6,6,B07GLJ97FL,,,,,,CM8068403380219,Coffee Lake,True,False,,,Intel HD Graphics P630,,14 nm,,64,,OEM/Tray,,False,80
0abfd960-5cb9-4d0b-9b32-9a5f5a48b083,Intel Core i7 6850K,Intel,Core i7 6000,6850K,2016,Core i7 6000,LGA 2011-3,0abfd960-5cb9-4d0b-9b32-9a5f5a48b083.json,6 × 32 KB Instruction + 6 × 32 KB Data (384 KB total),1.5,15,0,0,3.6,3.8,Broadwell-E,0,0,12,6,B01K7R8NP4,,https://www.intel.com/content/www/us/en/products/sku/94188/intel-core-i76850k-processor-15m-cache-up-to-3-80-ghz/specifications.html,N82E16819117647,52329168,,CM8067102056100,Broadwell E,False,False,0,0,,0,14 nm,4,128,DDR4,OEM/Tray,0,True,140
0ad2e194-584e-46ec-ba59-d5aa4e129f59,Intel Xeon E5-2620 v3 OEM/Tray,Intel,Xeon E5 2600 v3,2620 v3,2014,Xeon E5 2600 v3,LGA 2011-3,0ad2e194-584e-46ec-ba59-d5aa4e129f59.json,6 × 32 KB Instruction + 6 × 32 KB Data (384 KB total),1.5,15,0,0,2.4,3.2,Haswell-EP,0,0,12,6,B00THAPKW2,,https://www.intel.com/content/www/us/en/products/sku/83352/intel-xeon-processor-e52620-v3-15m-cache-2-40-ghz/specifications.html,N82E16819117654,41436516,,CM8064401831400,Haswell,True,False,0,0,,0,22 nm,4,768,DDR4,OEM/Tray,0,True,85
